value,thetas,thetaPrime,PnL,capitalGains
1000000.0,0.0,1000000.0,0.0,0.0
1000017.18254,1000017.18254,0.0,-0.0,17.18254
1003858.6763456493,1003858.6763456493,0.0,3841.493805649379,0.0
1021074.9405870395,1021074.9405870395,0.0,17216.264241390138,0.0
1025914.4581932686,0.0,1025914.4581932686,4839.517606229148,0.0
1025932.0860094831,0.0,1025932.0860094831,0.0,17.627816214484167
1025949.7141285882,0.0,1025949.7141285882,-0.0,17.628119105141383
1025967.3425505892,0.0,1025967.3425505892,-0.0,17.62842200100303
1025984.9712754913,0.0,1025984.9712754913,0.0,17.6287249020692
1026002.6003032996,0.0,1026002.6003032996,0.0,17.62902780833998
1026020.2296340194,0.0,1026020.2296340194,-0.0,17.629330719815457
1026037.8592676559,0.0,1026037.8592676559,0.0,17.629633636495726
1026055.4892042143,0.0,1026055.4892042143,0.0,17.629936558380866
1026073.1194436997,0.0,1026073.1194436997,0.0,17.63023948547098
1026090.7499861175,0.0,1026090.7499861175,-0.0,17.630542417766147
1026108.3808314727,0.0,1026108.3808314727,-0.0,17.630845355266462
1026126.0119797706,0.0,1026126.0119797706,0.0,17.63114829797201
1026143.6434310165,0.0,1026143.6434310165,0.0,17.631451245882886
1026161.2751852155,0.0,1026161.2751852155,0.0,17.63175419899918
1026178.9072423729,0.0,1026178.9072423729,-0.0,17.632057157320972
1026196.5396024938,0.0,1026196.5396024938,-0.0,17.63236012084836
1026214.1722655833,0.0,1026214.1722655833,-0.0,17.63266308958143
1026232.8233007572,0.0,1026232.8233007572,0.0,18.65103517390059
1026251.4746749062,644140.0830625343,382111.3916123719,0.0,18.651374149060413
1021525.2982485525,780133.2681469048,241392.03010164772,-4733.121149198162,6.94472284433239
1024459.4906911883,763449.4289892268,261010.06170196144,2929.805238321318,4.387204314461497
1018087.9609454924,836015.2899812394,182072.67096425302,-6376.273499946321,4.743754250438654
1009675.8514111931,814953.9744745722,194721.87693662092,-8415.41140780339,3.301873504195722
1015768.8915532916,976748.4174619898,39020.47409130179,6089.501149289726,3.538992808737942
1013011.4676078154,843910.9639157488,169100.50369206665,-2758.133127101679,0.7091816254811958
1005875.0480652436,720812.6740935682,285062.3739716754,-7139.492877093482,3.073334521703346
996363.1309927753,609682.3390383079,386680.7919544674,-9517.097967945532,5.180895477172735
1000590.671401388,406882.7214198014,593707.9499815865,4220.512638731189,7.02776988149804
993010.3163126854,0.0,993010.3163126854,-7591.145494991383,10.790406288859193
993028.3638809592,0.0,993028.3638809592,-0.0,18.04756827388748
993046.4117772405,0.0,993046.4117772405,-0.0,18.047896281275975
993064.460001535,-411209.7920862493,581854.6679152858,0.0,18.04822429462587
991879.1437715001,0.0,991879.1437715001,-1195.8912076279303,10.574977593057158
991897.131421414,-672505.4449348549,319391.6864865591,-0.0,17.987649913843796
999108.4739772632,-855472.4710501151,143636.00292714813,7205.550412846736,5.7921430024905165
1006588.6048990085,-942851.0301510723,63737.57474793622,7477.5203944155555,2.6105273297077556
985524.4171676618,-985524.4171676618,0.0,-21065.34360722957,1.155875882785418
991354.9306985456,-991354.9306985456,0.0,5830.513530883763,0.0
986445.0034907389,-986445.0034907389,0.0,-4909.927207806686,0.0
985262.0595799712,-985262.0595799712,0.0,-1182.9439107677076,0.0
982078.649036892,-982078.649036892,0.0,-3183.410543079273,0.0
950049.3574107959,-950049.3574107959,0.0,-32029.29162609616,0.0
945213.6660600208,-945213.6660600208,0.0,-4835.691350775027,0.0
959815.8646530543,-959815.8646530543,0.0,14602.198593033505,0.0
940591.1196165882,-940591.1196165882,0.0,-19224.745036466044,0.0
948657.6047990338,-948657.6047990338,0.0,8066.485182445596,0.0
935757.5443501873,-935757.5443501873,0.0,-12900.06044884655,0.0
943141.3319795515,-943141.3319795515,0.0,7383.787629364189,0.0
951259.1998708849,-951259.1998708849,0.0,8117.867891333369,0.0
938590.4241555916,-938590.4241555916,0.0,-12668.77571529326,0.0
936898.7239677752,-936898.7239677752,0.0,-1691.7001878163737,0.0
933383.8861609971,0.0,933383.8861609971,-3514.8378067781564,0.0
933401.7760191263,0.0,933401.7760191263,0.0,17.88985812921374
933419.6662201445,0.0,933419.6662201445,-0.0,17.89020101816718
933437.5567640582,0.0,933437.5567640582,0.0,17.890543913692657
933455.447650874,355905.0058903863,577550.4417604877,-0.0,17.890886815790303
938068.8763098647,379848.80092715565,558220.075382709,4602.358941997744,11.069716992926162
939819.5244397896,450365.02367623243,489454.50076355715,1739.9489116273555,10.699218297575282
942361.8869150893,543350.7690533341,399011.1178617552,2532.9812638719873,9.381211427786345
947850.8108108821,585816.7602643416,362034.05054654053,5481.276182567473,7.647713225354014
948676.7169603384,754151.6981145795,194525.01884575887,818.9671633668274,6.93898608948671
937762.2542401153,831967.9880349061,105794.26620520919,-10918.191116482443,3.7283962593853848
938408.9002135477,889643.3563861839,48765.54382736387,644.6182499616195,2.0277234708645984
937380.3293421171,890403.0250876339,46977.3042544832,-1029.5055443703236,0.9346729396129888
932048.8235448218,932048.8235448218,0.0,-5332.406195642481,0.9003983472033628
922510.6166972922,922510.6166972922,0.0,-9538.206847529675,0.0
912371.9436402707,912371.9436402707,0.0,-10138.673057021486,0.0
915215.228702287,915215.228702287,0.0,2843.2850620161626,0.0
914134.5261646888,914134.5261646888,0.0,-1080.7025375981866,0.0
920898.4930480905,920898.4930480905,0.0,6763.966883401707,0.0
916197.1619466183,916197.1619466183,0.0,-4701.331101472173,0.0
923862.8433020347,923862.8433020347,0.0,7665.681355416329,0.0
936952.8218554544,936952.8218554544,0.0,13089.978553419744,0.0
928030.8100779615,928030.8100779615,0.0,-8922.011777492877,0.0
919413.3897394096,919413.3897394096,0.0,-8617.420338551958,0.0
932195.0810731387,0.0,932195.0810731387,12781.691333729186,0.0
932212.9481458367,0.0,932212.9481458367,0.0,17.867072697966854
932230.8155609869,0.0,932230.8155609869,-0.0,17.86741515019952
932248.6833185959,0.0,932248.6833185959,-0.0,17.867757608995856
932266.5514186702,0.0,932266.5514186702,0.0,17.868100074355983
932285.3447283683,0.0,932285.3447283683,0.0,18.79330969808009
932304.1384169157,0.0,932304.1384169157,0.0,18.7936885473361
932322.9324843199,0.0,932322.9324843199,0.0,18.79406740422923
932341.7269305887,0.0,932341.7269305887,-0.0,18.794446268759632
932360.5217557297,0.0,932360.5217557297,-0.0,18.794825140927465
932379.3169597504,0.0,932379.3169597504,0.0,18.79520402073288
932398.1125426586,0.0,932398.1125426586,0.0,18.795582908176026
932416.9085044619,0.0,932416.9085044619,0.0,18.795961803257068
932435.7048451678,0.0,932435.7048451678,0.0,18.79634070597615
932454.5015647841,0.0,932454.5015647841,0.0,18.79671961633343
932473.2986633184,-273374.75065710425,659098.5480062142,0.0,18.79709853432906
933265.2658344842,-323683.74071780493,609581.5251166793,778.6805814930692,13.28658967264931
932442.1679773564,-371620.9977978672,560821.1701794891,-835.3862465057173,12.288389377815355
934016.6628749561,-435459.5317214046,498557.13115355157,1563.1894550518991,11.30544254793237
935570.4724512557,-443432.4780335683,492137.99441768735,1543.759297703065,10.050278596499034
932913.8377928603,-468655.89141956496,464257.9463732954,-2666.5555353474488,9.920876952207665
927571.8671001205,-493493.3126830477,434078.5544170728,-5351.329543331201,9.358850591293741
923665.8899954541,-501268.976305346,422396.9136901081,-3914.7275770437523,8.750472377284078
921595.2212021241,-506920.5226912252,414674.6985108989,-2079.1837786659476,8.514985335912193
926060.6533488922,-482989.30308001477,443071.35026887746,4457.072831483056,8.359315285112613
926621.5958474537,-445578.3926055366,481043.2032419171,552.0107428406129,8.931755720805727
924441.7876053578,-436517.7732988158,487924.014306542,-2189.505462148275,9.69722005248893
930505.6140180836,-435995.6703890533,494509.94362903025,6053.990484260744,9.835928464921716
925687.0087296144,-421135.30065825855,504551.7080713559,-4828.573980905056,9.96869243593284
926037.0017396447,-439238.04513379233,486798.95660585235,339.821888376216,10.171121654049283
925219.1543893216,-417105.05367878854,508114.10071053304,-827.6605990536444,9.813248730499094
929068.4935503609,-407983.2355132906,521085.2580370703,3839.0962260739716,10.242934965416444
926368.2071792143,-398809.4025619337,527558.8046172806,-2710.790788170249,10.50441702374963
922670.3957712392,-380538.1943576363,542132.2014136028,-3708.4463234765753,10.634915501402512
923875.3030794435,-371467.87847195874,552407.4246074848,1194.0001238796403,10.907184324718145
921322.6930694822,-354260.4151574859,567062.2779119962,-2563.7458420841067,11.135832122657643
920555.4621737921,-346574.53881813993,573980.9233556521,-778.6396494454757,11.40875375536307
924410.7145896696,-323994.54177144583,600416.1728182237,3843.704465555408,11.547950322057611
921419.1871162769,-267638.00688252196,653781.1802337549,-3003.607275794039,12.079802401322313
921111.203710441,0.0,921111.203710441,-321.1368614362577,13.153455600400749
921129.735591883,0.0,921129.735591883,0.0,18.531881441899348
921148.2678461687,0.0,921148.2678461687,-0.0,18.53225428573014
921166.8004733057,0.0,921166.8004733057,0.0,18.532627137062196
921185.3334733016,0.0,921185.3334733016,-0.0,18.532999995895665
921203.903399719,0.0,921203.903399719,0.0,18.569926417448247
921222.4737004826,0.0,921222.4737004826,0.0,18.570300763581017
